index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
0,Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Бүргэд,24.04,4,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-12-15 09:55:00,BZD TSAIZ ZAKHYN BARUUN TALD SHINE 1 OROO BAIR,43000000.0,Улаанбаатар,24.04,46918892.327365726
1,Паркет,1 тагттай,2009,Байхгүй,Вакум,17,Бүргэд,54.0,8,Банкны лизингтэй,Баянзүрх,1,13-р хороолол,2020-12-15 08:08:00,NARAN TUUL ZAKHYN KHAJUUD 1 OROO,76000000.0,Улаанбаатар,54.0,103503101.1235955
2,Паркет,Тагтгүй,2009,Байхгүй,Вакум,5,Бүргэд,38.6,5,Лизинггүй,Хан-Уул,1,Viva city,2021-01-02 10:40:00,VIVAD MANSARTTAI 1 URUU 38.6M2,66000000.0,Улаанбаатар,38.6,61321637.93103448
3,Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,31.0,1,Лизинггүй,Сонгино Хайрхан,2,Найрамдал,2021-01-02 13:01:00,NAIRAMDAL ZUSLAN DOTOR 1 OROO BAIR,72000000.0,Улаанбаатар,31.0,70071428.57142857
4,Паркет,1 тагттай,2015,Байхгүй,Вакум,8,Бүргэд,38.0,8,Лизинггүй,Баянзүрх,2,16-р хороолол,2020-12-18 10:31:00,1 OROO BAIR,58000000.0,Улаанбаатар,38.0,62746655.27950311
5,Паркет,1 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,27.0,3,Банкны лизингтэй,Сүхбаатар,1,Бусад,2020-12-18 13:16:00,UILDVERCHIN KHOTKHOND 1 OROO BAIR,57000000.0,Улаанбаатар,27.0,51733929.42898975
6,Ламинат,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,39.0,11,Лизинггүй,Баянзүрх,2,14-р хороолол,2020-12-17 15:15:00,BZD 14 KHOROO AMAN KHUURYN BARUUN TALD 1 OROO BAIR,78000000.0,Улаанбаатар,39.0,71669212.38095239
7,Паркет,2 тагттай,2000,Байхгүй,Вакум,9,Төмөр,21.0,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,2020-12-18 13:53:00,1R KHOROOLOL KHARKHORIN ZAKHYN KHOINO 1OROO BAIR 21M2,60000000.0,Улаанбаатар,21.0,53151244.44444445
8,Паркет,1 тагттай,2018,Байгаа,Вакум,12,Бүргэд,41.33,2,Лизинггүй,Баянзүрх,1,Офицер,2021-01-07 13:13:00,BZD 16KHOROOND 1OROO BAIR,68000000.0,Улаанбаатар,41.33,57844298.65771812
9,Паркет,1 тагттай,2002,Байхгүй,Вакум,6,Бүргэд,50.68,6,Лизинггүй,Баянгол,5,Бусад,2021-01-07 15:22:00,KHERMESIIN ZUUN KHOINO 3 OROO,100000000.0,Улаанбаатар,50.68,101326016.39344262
